request_type,priority,department,amount,status
4,1,2,14153,0
4,2,1,3059,0
0,0,3,93342,0
2,0,3,173839,2
2,0,3,11932,1
4,0,1,21873,1
2,0,3,177559,1
5,2,1,59611,2
1,2,4,3548,0
2,2,2,54531,0
2,0,0,99543,1
2,1,4,123211,2
3,1,3,111920,1
1,1,3,436,0
5,0,1,112376,1
3,1,4,140513,1
3,1,0,94513,1
2,0,0,148044,2
3,1,2,50549,1
4,0,3,14809,0
4,0,0,28349,1
0,0,4,146196,1
4,2,4,10258,0
1,0,2,795,1
0,2,0,88885,1
2,0,5,177748,2
3,1,3,101189,1
1,2,4,2731,2
1,2,4,3353,0
4,2,1,27330,0
0,0,2,78232,1
0,1,0,111710,1
5,0,5,95382,1
1,1,1,3909,0
4,0,2,4582,0
1,0,2,2329,1
0,2,1,71509,1
2,1,1,145236,2
3,2,2,137208,1
1,2,1,2593,0
4,2,4,11527,0
0,0,4,146886,1
1,0,5,4717,1
0,2,1,103432,1
1,1,2,744,0
1,1,5,4154,0
4,2,4,20935,1
3,2,2,11816,0
1,0,4,1406,1
5,2,5,62492,2
0,0,4,32886,2
0,1,0,120403,1
2,1,2,158580,2
0,2,2,84797,1
0,0,0,14461,1
4,2,5,22479,1
3,2,3,144253,1
1,2,2,859,0
2,2,0,171926,2
2,2,4,88048,0
2,2,0,49568,0
3,0,5,64076,1
1,0,1,2227,1
3,1,2,25226,0
2,0,2,85360,1
4,0,5,4652,0
0,0,0,27329,1
1,0,0,3659,1
4,2,3,17634,0
5,2,1,65385,2
1,1,3,1402,0
1,2,2,2165,0
3,1,4,16383,0
2,0,0,92902,1
0,2,3,19321,0
4,1,2,3377,0
1,1,0,3952,0
1,1,2,28,0
4,0,2,8329,0
0,0,1,118068,1
4,1,5,22900,1
5,1,3,8772,0
5,1,5,72757,2
1,2,5,4434,0
1,2,1,1986,0
0,1,0,74401,1
0,0,1,76572,1
3,2,0,32675,1
1,0,1,565,1
1,0,0,4830,0
4,0,0,18570,0
4,0,2,8782,0
1,2,0,2413,0
3,2,4,173788,1
2,0,2,176221,2
1,1,1,2794,0
1,0,2,3072,1
4,0,5,14773,0
5,2,4,39743,0
4,1,5,9163,0
5,2,5,56278,2
2,2,5,122116,2
3,0,4,161265,1
3,0,4,73664,0
5,0,5,10733,0
3,1,1,186475,2
3,2,0,43717,1
1,0,0,224,1
3,2,1,19336,0
2,2,1,199057,2
0,2,2,42470,1
1,0,2,546,1
5,0,3,57804,1
4,1,5,7374,0
4,1,5,28853,1
0,0,3,34503,0
2,2,5,147548,2
2,2,2,161116,2
2,2,4,153522,2
0,0,1,155146,1
0,1,0,143420,1
0,0,3,101591,0
1,0,0,4441,1
1,2,0,1148,0
5,2,3,12651,0
3,1,0,115870,1
5,2,0,10149,0
3,1,1,61646,1
1,2,4,1209,2
2,0,3,58975,1
0,1,5,146619,1
4,1,1,5241,0
2,0,2,50641,1
1,1,0,208,0
0,1,0,196707,1
3,0,1,91951,1
2,0,4,137910,2
0,1,2,4351,1
2,1,1,87705,0
4,2,2,6742,0
1,0,4,901,1
5,2,5,88842,2
4,2,4,13188,0
5,2,2,72782,2
1,1,0,2314,0
3,1,0,3560,1
2,1,4,81617,0
1,2,0,1624,0
5,1,4,29060,0
2,2,4,134927,2
1,1,4,3223,0
0,2,1,180562,1
0,1,4,141201,1
1,2,1,2521,0
0,1,1,17903,1
4,0,1,14529,0
5,0,4,69478,1
1,0,5,2574,1
0,0,0,87288,1
5,2,1,119609,2
3,1,5,141989,1
5,1,1,87897,2
0,0,5,29202,2
5,0,0,17905,0
4,1,0,19488,0
1,0,2,3777,1
5,2,1,78143,2
1,2,2,3286,0
4,0,0,26939,1
5,1,0,106361,2
2,1,4,192544,2
5,2,2,78527,2
5,2,3,13174,0
0,2,5,125291,1
4,2,0,4105,0
3,1,2,154053,1
3,1,5,195992,1
3,0,4,53472,1
0,0,4,65150,1
1,2,4,3333,0
0,0,3,10023,0
3,1,1,117080,1
5,2,4,23046,0
5,1,0,10823,0
4,0,0,27430,1
4,1,5,10780,0
1,1,0,1266,0
0,1,0,184563,1
2,0,0,43437,1
4,0,1,26979,1
4,1,4,25663,1
2,0,0,161160,2
0,0,1,133036,0
5,2,0,52402,2
3,0,2,170043,1
0,0,0,26550,1
2,1,0,25881,0
4,1,4,20619,1
3,2,4,104211,1
2,1,0,103986,2
3,1,3,183146,1
3,2,2,58248,1
4,2,4,5948,0
2,0,3,157268,2
5,0,4,51993,1
3,1,0,74567,1
0,0,1,102211,1
1,1,3,3473,0
2,0,5,19579,1
1,0,4,2982,1
0,2,3,87460,0
3,2,0,16067,0
5,0,5,19596,0
1,1,5,3942,1
5,0,1,111161,1
3,0,2,176218,1
3,1,1,96798,1
5,1,4,106241,0
4,0,2,23005,1
5,1,2,114506,2
2,2,1,60359,0
5,1,0,24939,0
2,2,2,77876,0
0,0,5,80303,1
1,1,2,4405,0
1,2,5,374,0
3,0,4,87582,1
2,0,1,155751,2
0,2,2,118249,1
1,0,2,3716,1
0,2,5,26850,1
2,0,0,16740,1
5,1,5,25031,0
5,1,0,117786,2
2,2,3,170368,2
5,2,5,5184,0
0,1,2,107738,1
5,1,2,106676,2
5,0,1,58627,1
3,2,4,181818,1
1,0,5,724,1
1,2,2,3068,0
5,0,4,72022,1
1,0,3,815,1
4,1,1,21504,0
5,1,5,25675,0
4,2,0,28996,1
4,0,3,20950,1
2,0,5,140168,2
2,1,1,170171,2
3,0,5,143369,1
3,1,4,49258,1
0,2,5,6771,1
2,0,1,31251,1
3,1,3,34593,1
5,0,2,63616,1
5,1,3,35104,0
4,2,4,18841,0
2,0,4,97452,1
2,0,1,94617,1
0,0,4,99469,1
0,2,3,88761,0
1,1,3,2643,0
2,0,3,121583,2
0,2,2,185622,1
5,1,5,44784,0
0,0,0,85580,1
2,2,0,110738,2
0,2,3,111720,0
3,0,2,70304,1
3,0,5,54108,1
0,0,4,52430,1
1,0,3,2745,1
1,2,0,4244,0
5,1,5,5568,0
0,2,3,140419,0
3,1,3,90202,1
5,2,4,28737,0
4,2,1,4607,0
1,0,5,959,1
3,2,0,163941,1
0,0,0,10743,1
3,2,2,94836,1
3,2,5,122295,1
4,0,1,28530,1
5,0,0,109283,1
3,2,0,157450,1
4,2,3,19152,0
4,1,2,17434,0
3,0,5,79242,1
2,1,1,169664,2
0,1,4,134197,1
0,1,4,28730,1
5,0,3,38072,0
3,1,0,177359,1
1,0,3,1259,1
1,0,3,4005,1
5,2,2,89988,2
2,0,5,144025,2
4,2,2,16303,0
2,1,1,178637,2
1,2,3,952,0
4,2,5,24126,1
0,0,1,141598,1
3,0,3,73238,1
4,2,0,17857,0
1,1,5,3567,0
0,0,5,198630,1
1,0,1,96,1
2,1,1,187754,2
4,2,0,26688,1
5,1,5,65623,2
3,1,0,41740,1
2,0,4,55232,1
4,0,0,7597,0
5,1,1,44310,0
1,1,4,2531,0
0,2,3,87366,0
1,0,1,1793,1
5,0,4,113265,1
2,1,1,134911,2
1,2,3,4749,0
2,0,0,55378,1
0,2,2,64336,1
1,1,3,2574,0
4,1,0,29370,1
0,2,5,96276,1
5,2,3,118878,1
5,2,2,27922,0
2,0,4,117962,2
0,1,1,140180,1
4,1,2,1772,0
1,1,4,4216,0
4,2,2,16221,0
2,1,4,99495,0
5,1,2,26671,0
0,0,2,106654,1
3,0,0,86996,1
4,1,2,2578,0
2,2,5,18692,0
3,0,4,145374,1
3,1,4,145543,1
3,1,1,12473,0
2,2,0,104957,2
3,0,3,188582,1
5,0,5,68171,1
1,0,1,197,1
5,2,5,77940,2
4,2,0,23569,1
2,0,1,147191,2
4,1,5,19053,0
3,0,1,34396,1
5,2,0,80287,2
4,2,2,15470,0
5,0,0,59701,1
1,2,0,3517,0
2,1,5,94478,0
2,1,5,22471,0
1,0,5,3540,1
0,0,4,51685,1
5,0,0,104351,1
4,0,1,20460,1
0,2,5,169750,1
0,1,1,14650,1
3,1,5,143834,1
2,2,5,188477,2
4,0,5,1174,0
5,2,1,32624,0
5,0,3,40849,0
3,2,5,95488,1
3,0,1,41221,1
1,0,0,1250,1
4,0,3,26901,1
2,2,1,80072,0
2,2,0,104426,2
3,0,4,194058,1
3,2,3,108245,1
5,0,5,68697,1
2,1,5,69930,0
2,1,0,48378,0
2,0,0,192831,0
3,0,4,83120,1
3,0,0,109141,1
4,0,5,28652,1
4,0,2,19386,0
5,1,2,7739,0
2,0,1,159997,2
5,1,5,92291,2
1,1,2,4199,0
0,2,3,43111,0
0,0,4,108252,1
2,1,1,1183,0
1,0,1,4144,0
3,1,2,125177,1
3,2,2,121470,1
2,1,5,21721,0
3,1,4,36754,1
5,2,0,65402,2
4,1,2,26095,0
0,1,2,59658,1
2,2,3,133595,2
0,2,5,128856,1
1,0,5,1311,1
1,1,4,1390,0
0,2,3,173563,0
2,2,2,179446,2
3,1,5,114312,1
2,2,2,151738,2
5,2,3,85068,2
3,2,2,75597,1
1,2,5,2791,0
4,0,2,10167,0
1,2,4,3218,0
1,1,5,602,0
4,1,3,17501,0
2,2,4,42701,2
0,1,4,81739,1
1,0,3,60,1
2,0,5,165032,2
2,1,4,125702,2
1,1,5,1576,0
0,2,3,185322,0
3,1,5,73646,1
4,0,5,7323,2
0,0,5,164733,1
4,1,2,16026,0
2,2,3,195723,2
2,0,2,146476,2
1,2,0,1317,0
0,1,4,178176,1
0,0,1,137738,1
4,2,2,27706,1
5,0,5,90328,1
1,1,1,3561,0
0,1,4,160113,1
3,1,3,57039,1
3,1,5,127293,1
0,2,1,33655,1
4,2,5,2647,0
2,1,3,71791,0
3,2,3,10276,0
5,1,0,81183,1
2,0,1,58410,0
4,0,1,4821,0
1,2,1,4082,0
0,0,3,141019,0
0,0,3,178659,0
0,2,5,24956,1
2,1,2,143307,2
5,0,0,69002,1
1,0,1,3833,1
5,1,1,113267,2
5,2,3,18184,0
1,0,2,728,1
3,0,3,178813,1
2,1,3,92511,0
5,0,1,25172,0
0,1,1,30732,1
5,0,4,41737,0
3,2,3,88099,1
4,1,3,28399,1
3,1,5,80813,1
2,2,0,72780,0
2,1,2,135612,2
0,1,4,96554,1
3,1,1,117575,1
4,1,3,22219,1
5,2,3,78858,2
3,2,5,199655,1
5,0,0,8180,0
1,1,4,2160,0
1,2,3,4324,0
1,0,2,1372,1
3,0,0,161428,2
2,2,0,179124,2
0,1,1,162862,1
4,1,0,19436,0
1,1,1,2397,0
4,2,0,12775,0
1,2,3,2155,0
5,1,5,10868,0
2,0,1,131629,2
3,0,2,144460,1
2,2,1,123340,2
2,1,3,148295,2
3,2,0,158782,1
1,1,3,3409,0
5,0,5,51131,1
5,1,4,43518,0
2,0,0,29291,1
0,0,5,30031,1
3,0,2,84549,1
0,0,5,199576,1
4,0,0,26109,1
3,1,2,155521,1
5,2,3,16821,0
4,2,0,25130,1
2,1,1,41994,0
1,0,2,4301,1
0,2,2,187121,1
3,0,3,128095,1
2,2,5,199626,2
0,1,4,185041,1
2,1,2,46659,0
4,1,0,24538,1
3,0,0,66483,1
1,2,3,197,0
2,1,4,121494,2
0,1,1,165553,1
2,2,1,102653,2
0,2,2,20371,1
5,1,5,73404,2
4,1,5,10189,0
0,2,5,121144,1
2,2,4,35834,0
2,2,3,22693,0
2,0,5,43757,1
4,0,0,14226,0
3,2,5,45077,1
2,0,4,67487,1
0,0,3,44091,1
2,1,4,189005,2
4,2,0,10184,0
2,1,1,53798,0
1,1,2,689,0
3,2,0,171047,1
3,1,2,12811,0
4,0,5,17030,0
1,0,4,1518,1
1,0,4,4551,1
2,2,4,63344,0
0,2,5,163095,1
2,1,1,137451,2
5,0,1,37429,0
5,2,1,32721,0
4,0,0,26759,1
1,0,3,1690,1
5,2,0,9535,0
3,2,3,135803,1
5,1,0,60303,2
0,1,2,7937,1
0,0,3,151384,0
3,1,1,119814,1
0,2,4,115840,1
0,0,0,171754,1
5,2,3,11452,0
3,1,0,62921,1
2,0,1,50724,1
3,0,3,121720,1
0,2,3,12933,0
0,0,2,14452,1
0,2,5,17368,1
0,0,2,97070,1
3,0,0,170024,1
2,1,5,74343,0
0,2,2,5518,1
2,0,1,52602,1
0,2,1,171082,1
2,0,2,190387,2
0,1,0,53974,1
0,2,0,13038,2
4,2,2,6346,0
3,0,2,191092,1
3,1,5,188858,1
4,1,2,23682,1
1,1,0,791,0
4,0,0,26953,1
5,0,3,42124,0
4,2,1,12689,0
0,2,1,33795,1
0,2,1,51898,1
5,0,0,58822,1
3,1,5,154911,1
5,1,4,119154,2
2,1,1,40584,0
3,1,1,188797,0
3,2,5,133025,2
5,0,4,27976,0
0,1,5,164967,1
5,0,0,119317,1
0,0,0,199338,1
1,2,3,4072,0
4,2,2,7171,0
1,1,1,1703,0
0,1,2,76058,1
4,0,5,27239,1
3,1,3,55637,1
3,2,0,185185,1
1,0,4,761,1
1,0,5,2090,1
0,0,4,73725,1
4,1,4,15125,0
1,1,2,3512,0
1,2,3,1926,0
0,0,0,151436,1
1,0,0,3148,1
0,0,4,59783,0
5,2,1,20973,0
0,2,0,144398,1
1,0,3,4604,1
3,1,4,180623,1
0,0,3,74007,0
4,2,4,4683,0
4,0,5,4867,1
1,1,3,1852,0
4,0,0,1113,0
4,1,2,12270,0
5,1,4,13702,0
1,1,0,3464,0
5,0,3,59576,2
4,2,5,7415,0
5,2,4,69871,2
4,2,2,9272,0
5,0,4,79284,1
4,0,3,9981,1
3,2,5,42658,1
1,1,1,2851,0
3,1,2,80462,2
2,2,1,153493,2
3,0,4,48589,1
2,2,2,194138,2
3,0,2,88331,1
0,1,3,197938,0
5,2,0,54055,2
2,1,1,186076,2
1,0,1,2485,1
2,2,4,31116,0
5,1,2,36978,0
0,2,0,162562,1
0,0,3,169229,0
3,2,3,49966,1
1,2,2,2399,0
0,2,0,75757,1
3,1,3,87962,1
4,1,0,25328,1
4,2,2,29113,1
3,1,1,68765,1
3,0,0,4768,0
1,2,0,139,0
3,0,2,91642,1
0,0,2,25415,1
1,0,1,1475,1
3,1,2,96107,1
1,0,1,4483,0
4,0,0,12295,0
4,0,0,5877,0
4,2,1,28011,1
4,1,4,27473,1
0,2,3,2026,0
1,0,5,1672,1
1,1,4,4595,0
0,2,4,162737,1
1,0,0,3913,1
1,2,5,859,0
5,1,1,85903,2
1,1,4,2872,0
0,2,3,197215,0
1,2,3,2583,1
2,0,5,57752,1
5,1,1,106206,2
2,1,3,72341,0
4,0,1,17457,0
5,0,1,27174,0
5,1,1,117204,2
5,0,1,81716,1
4,1,3,6142,0
4,0,3,24615,2
4,1,5,18478,0
5,2,0,47029,2
5,0,5,104435,1
1,0,5,3779,1
3,2,5,117031,1
5,2,0,76712,2
5,2,4,116059,2
3,1,3,18014,0
5,0,1,54865,1
2,0,0,62626,1
4,0,2,14457,0
2,2,3,63646,0
2,0,0,185282,2
4,0,2,22062,1
5,1,5,49501,0
0,2,0,103594,1
2,1,2,100751,2
1,2,3,1326,0
2,1,1,104542,2
0,2,0,20081,1
3,0,4,94333,1
1,1,5,3539,0
5,1,0,18749,0
4,2,5,9938,0
2,1,3,49572,0
3,2,4,141574,1
2,2,0,21529,0
1,1,0,4074,0
0,2,1,94140,1
3,0,3,66713,2
1,0,5,104,1
1,2,5,3736,0
2,2,2,149174,2
5,0,1,84357,1
3,2,0,80366,0
1,1,2,3830,0
5,1,2,115618,1
1,1,0,2024,0
0,0,5,104156,1
2,2,5,119173,2
2,1,0,122700,2
5,0,5,105192,1
3,2,4,189690,1
4,0,5,8896,0
5,2,5,50364,2
1,1,1,2678,0
4,0,0,10022,0
5,2,5,89971,0
0,0,0,116908,1
1,0,0,2190,1
4,0,3,24061,1
1,1,0,783,2
2,1,4,181770,2
0,2,2,44453,1
5,0,1,37746,0
4,2,5,15773,0
0,0,3,194044,0
3,1,0,91126,1
0,1,1,181784,1
1,2,1,1111,0
4,0,0,2107,2
5,2,0,82847,2
1,1,4,3008,2
2,0,4,182128,2
2,2,4,184753,2
2,1,0,54832,0
2,1,1,167549,2
4,2,5,6515,0
2,0,3,71738,1
3,0,2,3818,0
2,1,2,37426,0
5,1,3,108504,2
2,1,3,181547,2
4,0,1,28654,1
3,1,0,143365,1
5,2,3,103066,2
0,1,1,51177,0
2,2,2,145338,2
2,0,5,110367,2
4,2,4,6948,0
3,0,1,86980,1
2,0,0,26090,1
3,1,2,9836,0
4,1,3,6418,0
1,0,5,4677,1
1,0,0,1396,1
0,1,4,141896,1
2,2,3,187510,2
4,2,4,19211,0
5,1,1,83576,2
3,0,3,111096,1
0,1,1,164167,1
4,2,4,9234,0
0,0,5,148046,1
2,0,0,119350,1
3,0,2,145513,1
1,0,3,2656,1
3,1,1,95453,1
2,2,0,35350,0
2,0,5,167357,2
4,2,1,19743,0
3,0,4,173327,1
2,0,1,13165,1
5,2,0,109177,2
0,1,2,31924,1
5,2,1,76527,2
5,0,2,81506,1
5,0,3,21659,0
4,2,4,22993,1
2,1,1,25578,0
2,1,5,152894,2
1,2,2,4991,0
4,1,4,27062,1
0,2,1,172701,1
1,2,2,2307,0
5,2,5,83380,2
1,0,3,3911,1
2,1,0,101612,2
1,0,0,2710,1
2,1,0,27503,0
5,0,3,114353,1
4,2,5,24254,2
5,1,5,38893,0
5,0,4,63392,1
4,1,1,13083,0
3,2,2,135534,1
5,1,4,5809,0
3,2,4,96200,1
1,2,3,2229,0
4,1,4,28809,1
2,1,4,136465,2
3,0,2,138623,1
2,0,0,125155,2
3,0,3,45989,1
4,0,4,24251,1
5,1,0,109522,2
4,2,2,18610,0
5,1,5,53277,2
4,0,5,5168,0
5,0,0,70590,1
3,1,1,174820,1
4,0,4,28949,1
5,0,5,22106,0
3,0,5,74527,1
0,2,2,12401,1
0,2,1,24733,2
4,0,3,5515,0
4,1,0,15562,0
1,1,1,1161,0
4,1,5,12191,0
1,1,3,2983,0
4,0,1,6042,0
0,0,3,57897,0
2,1,2,117400,2
1,2,5,3406,0
2,0,4,138651,2
1,0,0,4129,1
4,0,2,27304,1
0,1,0,78589,1
3,2,2,34797,1
1,0,1,3253,0
3,1,5,70224,1
3,1,4,87729,1
3,2,1,103253,1
2,2,0,45527,0
1,1,4,797,0
4,2,1,1397,0
2,2,3,194433,2
2,1,1,28394,0
5,2,0,66949,2
1,1,3,2699,0
5,0,4,80178,0
5,2,3,47193,0
3,0,2,70550,1
3,0,3,148530,1
0,1,1,35182,1
4,1,3,27431,1
4,2,1,23607,1
1,1,2,4902,0
5,1,0,57702,2
2,0,4,26946,1
4,0,1,22131,1
1,0,4,365,1
4,1,3,16698,0
2,2,5,5254,0
1,0,4,4961,1
4,0,3,12973,0
2,2,4,186468,2
2,0,1,28587,1
3,1,0,191354,1
0,1,4,169710,1
2,1,3,111744,2
0,1,0,135059,0
5,2,4,109631,2
4,0,4,28288,1
1,0,5,645,1
5,0,4,8218,0
0,0,3,147861,0
5,0,0,98384,1
5,1,0,79045,2
3,0,2,119016,1
3,2,4,88452,1
3,2,0,83243,2
4,2,1,5625,0
5,1,0,113030,2
4,0,1,25882,1
1,0,0,4448,1
3,0,3,100554,1
0,2,5,12973,1
0,0,4,134902,1
2,1,3,33474,0
2,0,1,37951,1
3,0,2,65356,1
5,2,5,61090,2
3,0,0,51162,1
3,2,5,170252,1
1,2,1,3849,0
2,0,4,171134,2
2,1,0,149368,2
4,1,1,19263,1
0,1,5,131400,1
0,0,4,99731,1
1,0,5,2125,1
4,1,4,6270,0
4,0,5,9354,0
2,2,1,177342,2
1,1,4,4032,0
3,0,1,104207,1
0,1,4,180716,1
1,0,5,3540,1
4,1,5,28733,1
4,2,2,26302,1
2,2,0,84785,0
0,2,2,84500,1
4,2,1,4144,0
2,2,5,27763,1
3,0,5,171242,1
1,2,3,677,0
1,2,4,3210,0
1,1,2,3376,0
0,0,2,2026,1
2,2,2,99708,0
0,1,4,122651,1
3,2,0,2571,0
5,0,1,56369,1
4,2,5,14501,0
1,0,1,3555,1
0,0,2,66244,1
4,0,4,11935,0
1,1,1,2528,1
1,0,3,456,1
5,2,0,16288,0
3,0,4,159648,1
4,1,1,13737,0
5,1,2,34730,0
4,1,3,5824,0
4,2,5,6696,0
5,2,4,16620,0
0,0,2,21146,1
5,2,4,97381,2
3,1,2,43212,1
1,0,3,4792,1
0,2,3,115901,0
5,0,2,42157,2
0,1,2,80850,1
3,1,2,97046,1
4,1,4,16245,0
2,2,0,9288,0
5,0,4,40460,0
5,0,5,14552,0
5,2,0,17287,0
1,2,3,3098,0
4,1,2,18940,0
3,2,1,143563,1
5,2,5,20041,0
0,1,1,161839,1
5,1,5,106992,2
4,1,2,25125,1
1,2,1,2318,0
0,2,5,163456,1
3,1,3,120023,1
2,1,1,137929,1
4,1,4,29427,1
2,0,5,40407,1
3,1,5,68895,1
5,1,5,63644,2
5,2,0,111864,2
0,0,2,137429,1
3,2,2,185572,1
4,2,1,20121,1
2,2,0,28169,0
4,2,2,12325,0
0,0,1,136303,1
2,0,5,74179,1
2,1,4,146597,2
1,2,4,2628,0
5,1,0,119140,0
5,1,1,59672,2
2,0,5,126171,2
1,2,2,3628,1
4,2,4,8355,0
0,1,4,6203,1
3,2,5,198507,1
1,2,2,1834,0
0,0,1,175501,1
1,1,3,4148,0
1,2,0,4654,2
1,2,1,2855,0
0,0,5,62134,1
4,0,3,22170,1
1,0,0,26,1
2,1,2,161981,2
2,2,5,178347,2
5,1,5,108444,2
2,2,5,170636,2
2,2,4,126806,2
3,1,3,29381,0
2,2,4,104242,1
1,0,2,4828,1
3,1,4,44047,1
0,1,1,25692,1
5,1,4,92206,2
5,1,5,38698,0
4,1,4,23541,1
5,1,2,65433,2
5,2,0,111536,2
2,0,2,80059,1
1,2,0,3086,0
1,0,0,2043,1
5,1,4,79695,2
4,2,1,3341,0
1,2,1,3370,0
4,1,2,19990,0
3,0,2,42129,1
4,2,4,7679,2
1,2,4,1230,0
2,0,5,27561,0
2,1,1,73420,0
0,0,3,157153,0
2,1,5,4850,0
1,1,1,2472,0
2,2,3,77199,0
1,2,4,116,0
5,1,4,52066,2
5,1,5,85610,2
1,0,5,3954,1
3,0,1,95312,1
0,0,3,31452,0
3,0,3,6502,0
1,0,1,4307,1
1,1,4,564,0
2,2,3,61495,0
0,1,5,140241,1
5,0,1,106073,1
3,0,5,91685,1
5,0,3,110195,1
5,0,4,30396,0
5,2,4,83461,2
1,2,5,4317,0
4,2,1,29253,1
1,1,5,3440,0
4,1,1,5948,0
1,0,4,2666,1
3,2,4,63093,1
4,2,5,18169,0
1,0,4,416,1
4,2,1,26484,1
0,1,3,15124,0
2,2,1,191702,2
0,2,2,151005,1
2,1,3,34426,0
2,1,3,57439,0
2,1,3,166007,2
5,1,0,88283,2
4,0,3,21347,1
4,1,5,18163,0
0,2,2,174733,1
3,2,0,176838,1
3,1,1,105366,1
5,0,5,48089,0
1,2,5,1435,0
4,0,1,13425,0
4,2,4,28029,1
2,2,0,147586,2
4,1,4,10381,0
4,0,5,17575,0
0,1,3,67255,0
5,2,2,5049,0
0,0,4,175614,1
0,2,1,131040,1
1,2,3,1164,0
2,1,3,63681,0
3,0,1,190394,1
1,2,0,775,0
4,0,1,23570,1
0,1,3,98154,0
4,0,2,7528,0
0,2,4,106402,1
2,0,0,180477,2
4,0,3,26651,1
4,0,4,5625,0
4,0,4,6285,0
4,0,1,18496,2
2,1,3,190421,2
3,1,1,125717,1
3,1,1,175693,1
0,2,3,165422,0
0,2,5,2912,1
2,0,2,34789,1
2,2,1,90667,1
1,0,3,1693,1
5,0,2,76807,1
3,1,0,23103,0
4,1,3,28396,1
0,0,2,14674,1
3,1,2,174373,1
1,2,1,3101,0
1,1,4,3295,0
5,2,1,5471,0
4,0,4,20733,1
1,0,4,222,1
0,0,0,116132,1
5,2,3,105459,2
0,1,0,134391,1
0,0,5,157217,1
5,1,5,102429,2
0,1,3,147211,0
0,1,3,145197,0
4,0,5,17822,0
0,0,3,169973,0
5,0,5,116738,1
0,1,3,92837,1
0,2,1,61331,1
0,0,1,142192,1
1,1,2,2418,0
5,1,5,66659,2
0,1,4,124507,1
0,2,4,63481,0
3,2,4,161263,1
2,2,2,117935,2
4,2,5,7222,0
5,0,0,78997,1
2,0,5,97807,1
